Entity;id;Superclass(es)
tool-centered#CaseStudyArea;Class;ce-ont#GeographicArea
tool-centered#FocusArea;Class;ce-ont#GeographicArea
tool-centered#ImplementationArea;Class;ce-ont#GeographicArea
tool-centered/AdministrativeArea;Class;ce-ont#GeographicArea
user-centered#BuiltEnvironment;Class;ce-ont#GeographicArea
user-centered#City;Class;ce-ont#GeographicArea
user-centered#BioBasedMaterial;Class;ce-ont#Material
user-centered#DemolitionWaste;Class;ce-ont#Material
user-centered#EndOfLifeMaterial;Class;ce-ont#Material
user-centered#FoodMaterial;Class;ce-ont#Material
user-centered#RawMaterial;Class;ce-ont#Material
user-centered#SortedMaterial;Class;ce-ont#Material
tool-centered#CaseStudyArea;Class;ce-ont#SpecificProperty
tool-centered#FocusArea;Class;ce-ont#SpecificProperty
tool-centered#ImplementationArea;Class;ce-ont#SpecificProperty
tool-centered/AdministrativeArea;Class;ce-ont#ContextProperty
user-centered#BuiltEnvironment;Class;ce-ont#Denotation
user-centered#City;Class;ce-ont#ContextProperty
user-centered#BioBasedMaterial;Class;ce-ont#Denotation
user-centered#DemolitionWaste;Class;ce-ont#Denotation
user-centered#EndOfLifeMaterial;Class;ce-ont#Denotation
user-centered#FoodMaterial;Class;ce-ont#Denotation
user-centered#RawMaterial;Class;ce-ont#Denotation
user-centered#SortedMaterial;Class;ce-ont#Denotation
owl#Thing;Class;
socioeconomicmetabolism#Event;Class;socioeconomicmetabolism#Set
socioeconomicmetabolism#Object;Class;ce-ont#CoreConcept
socioeconomicmetabolism#Service;Class;ce-ont#CoreConcept
socioeconomicmetabolism#Set;Class;ce-ont#CoreConcept
socioeconomicmetabolism#Stock;Class;socioeconomicmetabolism#Set
tool-centered#ActivityGroup;Class;ce-ont#Taxonomy
tool-centered#Actor;Class;ce-ont#CoreConcept
tool-centered#Actor2actorFlow;Class;ce-ont#Flow
tool-centered#AdministrativeLevel;Class;ce-ont#ContextProperty
tool-centered#Aim;Class;ce-ont#SpecificProperty
tool-centered#CaseStudy;Class;ce-ont#SpecificProperty
tool-centered#Challenge;Class;ce-ont#SpecificProperty
tool-centered#Composition;Class;ce-ont#Denotation
tool-centered#FlowChange;Class;ce-ont#ContentProperty
tool-centered#FlowDestination;Class;ce-ont#CoreConcept
tool-centered#FlowIndicator;Class;ce-ont#SpecificProperty
tool-centered#FlowOrigin;Class;ce-ont#CoreConcept
tool-centered#IdleStock;Class;socioeconomicmetabolism#Stock
tool-centered#ImplementationRatio;Class;ce-ont#SpecificProperty
tool-centered#KeyFlow;Class;ce-ont#Taxonomy
tool-centered#Location;Class;ce-ont#ContextProperty
tool-centered#MaterialFraction;Class;ce-ont#ContentProperty
tool-centered#MaterialStock;Class;tool-centered#IdleStock
tool-centered#OperationalLocation;Class;tool-centered#Location
tool-centered#Publication;Class;ce-ont#ObservationSource
tool-centered#Solution;Class;ce-ont#SpecificProperty
tool-centered#SolutionCategory;Class;ce-ont#Taxonomy
tool-centered#Stakeholder;Class;ce-ont#Denotation
tool-centered#Target;Class;ce-ont#SpecificProperty
tool-centered#User;Class;ce-ont#SpecificProperty
tool-centered/AdministrativeLocation;Class;tool-centered#Location
tool-centered/FlowTarget;Class;tool-centered#Target
tool-centered/ImplementationQuestion;Class;ce-ont#ObservationSource
tool-centered/Product;Class;tool-centered#Composition
tool-centered/SolutionPart;Class;ce-ont#SpecificProperty
tool-centered/Strategy;Class;ce-ont#ObservationSource
tool-centered/Waste;Class;tool-centered#Composition
ce-ont#Activity;Class;ce-ont#Taxonomy
ce-ont#ContentProperty;Class;ce-ont#ObservationalProperty
ce-ont#ContextProperty;Class;ce-ont#ObservationalProperty
ce-ont#CoreConcept;Class;owl#Thing
ce-ont#DebatableProperty;Class;owl#Thing
ce-ont#Denotation;Class;ce-ont#DebatableProperty
ce-ont#EffectProperty;Class;ce-ont#ObservationalProperty
ce-ont#Flow;Class;socioeconomicmetabolism#Event
ce-ont#GeographicArea;Class;owl#Thing
ce-ont#ImmaterialFlow;Class;ce-ont#Flow
ce-ont#InputFlow;Class;ce-ont#CoreConcept
ce-ont#Material;Class;ce-ont#Taxonomy
ce-ont#Model;Class;ce-ont#ObservationSource
ce-ont#ObservationSource;Class;ce-ont#ObservationalProperty
ce-ont#ObservationalProperty;Class;owl#Thing
ce-ont#OutputFlow;Class;ce-ont#CoreConcept
ce-ont#Process;Class;socioeconomicmetabolism#Event
ce-ont#Process2ProcessFlow;Class;ce-ont#Flow
ce-ont#SpecificProperty;Class;owl#Thing
ce-ont#Taxonomy;Class;ce-ont#DebatableProperty
data-centered-port#ADNRCode;Class;data-centered-port#ContentDescriptionCode
data-centered-port#AppearanceCode;Class;data-centered-port#ContentDescriptionCode
data-centered-port#BulkCarrier;Class;data-centered-port#VesselClass
data-centered-port#CableLayer;Class;data-centered-port#VesselClass
data-centered-port#ChemicalOilProductsTanker;Class;data-centered-port#VesselClass
data-centered-port#ChemicalTanker;Class;data-centered-port#VesselClass
data-centered-port#ContainerShip;Class;data-centered-port#VesselClass
data-centered-port#ContentDescriptionCode;Class;ce-ont#ContentProperty
data-centered-port#Declaration;Class;ce-ont#ObservationSource
data-centered-port#DestinationHarbour;Class;data-centered-port#Harbour
data-centered-port#ESP01TypeOfGoods;Class;data-centered-port#ContentDescriptionCode
data-centered-port#ESP02TypeOfGoods;Class;data-centered-port#ContentDescriptionCode
data-centered-port#ExportDeclaration;Class;data-centered-port#Declaration
data-centered-port#FishingVessel;Class;data-centered-port#VesselClass
data-centered-port#FruitJuiceCarrier;Class;data-centered-port#VesselClass
data-centered-port#GoodsClassificationRange;Class;data-centered-port#ContentDescriptionCode
data-centered-port#HSCode;Class;data-centered-port#ContentDescriptionCode
data-centered-port#Harbour;Class;ce-ont#ContextProperty
data-centered-port#HarbourActivity;Class;ce-ont#ContextProperty
data-centered-port#HarbourCountry;Class;ce-ont#ContextProperty
data-centered-port#HeavyLoadCarrier;Class;data-centered-port#VesselClass
data-centered-port#HopperDredger;Class;data-centered-port#VesselClass
data-centered-port#ImportDeclaration;Class;data-centered-port#Declaration
data-centered-port#LPGTanker;Class;data-centered-port#VesselClass
data-centered-port#Loading;Class;data-centered-port#HarbourActivity
data-centered-port#MolassesTanker;Class;data-centered-port#VesselClass
data-centered-port#NSTRCode;Class;data-centered-port#ContentDescriptionCode
data-centered-port#NSTRTypeOfGoods;Class;data-centered-port#ContentDescriptionCode
data-centered-port#OriginHarbour;Class;data-centered-port#Harbour
data-centered-port#ProfitCenter;Class;tool-centered#Actor
data-centered-port#RefrigeratedCargoShip;Class;data-centered-port#VesselClass
data-centered-port#Ro-RoCargoShip;Class;data-centered-port#VesselClass
data-centered-port#SelfDischargingBulkCarrier;Class;data-centered-port#VesselClass
data-centered-port#ShippingAgent;Class;tool-centered#Actor
data-centered-port#Stevedore;Class;tool-centered#Actor
data-centered-port#Transhipment;Class;ce-ont#Process
data-centered-port#Unloading;Class;data-centered-port#HarbourActivity
data-centered-port#VehiclesCarrier;Class;data-centered-port#VesselClass
data-centered-port#Vessel;Class;ce-ont#ContextProperty
data-centered-port#VesselClass;Class;ce-ont#ContextProperty
data-centered-waste#Address;Class;ce-ont#ContextProperty
data-centered-waste#EWCcode;Class;data-centered-waste#SecondaryWasteContentCode
data-centered-waste#FirstSecondaryBuyer;Class;tool-centered#Actor
data-centered-waste#GNcode;Class;data-centered-waste#SecondaryWasteContentCode
data-centered-waste#MaterialDeliveryReport;Class;data-centered-waste#Report
data-centered-waste#MaterialDisposalReport;Class;data-centered-waste#Report
data-centered-waste#PrimaryWasteStream;Class;data-centered-waste#WasteStream
