id;name;parent;colour
1;owl#Thing;;1
2;ce-ont#SpecificConcept;1;1
3;ce-ont#ObservationalConcept;1;2
4;ce-ont#GeographicArea;1;3
5;ce-ont#DebatableConcept;1;4
6;ce-ont#CoreConcept;1;1
7;user-centered#ValueChainInnovation;2;2
8;user-centered#Value;2;3
9;user-centered#SufficientProgress;2;4
10;user-centered#Opportunity;2;1
11;user-centered#Goal;2;2
12;tool-centered#User;2;3
13;tool-centered#Target;2;4
14;tool-centered#Solution;2;1
15;tool-centered#ImplementationRatio;2;2
16;tool-centered#ImplementationArea;2;3
17;tool-centered#FocusArea;2;4
18;tool-centered#FlowIndicator;2;1
19;tool-centered#Challenge;2;2
20;tool-centered#Aim;2;3
21;tool-centered/SolutionPart;2;4
22;ce-ont#Observation;3;1
23;ce-ont#Effect;3;2
24;ce-ont#Context;3;3
25;ce-ont#Content;3;4
26;user-centered#Region;4;1
27;user-centered#Transition;5;2
28;user-centered#Scale;5;3
29;user-centered#Resource;5;4
30;user-centered#Project;5;1
31;user-centered#MaterialUse;5;2
32;user-centered#Impact;5;3
33;user-centered#Economy;5;4
34;user-centered#BuiltEnvironment;5;1
35;user-centered#Barrier;5;2
36;tool-centered#Stakeholder;5;3
37;tool-centered#SolutionCategory;5;4
38;tool-centered#KeyFlow;5;1
39;tool-centered#FlowChange;5;2
40;tool-centered#CaseStudyArea;5;3
41;tool-centered#CaseStudy;5;4
42;tool-centered#AdministrativeLevel;5;1
43;tool-centered#ActivityGroup;5;2
44;tool-centered/ImplementationQuestion;5;3
45;data-centered-waste#Role;5;4
46;ce-ont#Activity;5;1
47;tool-centered#FlowOrigin;6;2
48;tool-centered#FlowDestination;6;3
49;tool-centered#Actor;6;4
50;socioeconomicmetabolism#Set;6;1
51;socioeconomicmetabolism#Service;6;2
52;socioeconomicmetabolism#Object;6;3
53;ce-ont#ProcessOutput;6;4
54;ce-ont#ProcessInput;6;1
55;user-centered#EconomicValue;8;2
56;user-centered#EcologicalValue;8;3
57;user-centered#TransitionGoal;11;4
58;user-centered#CircularityGoal;11;1
59;tool-centered/FlowTarget;13;2
60;tool-centered#Publication;22;3
61;tool-centered/Strategy;22;4
62;data-centered-waste#Report;22;1
63;data-centered-port#Declaration;22;2
64;user-centered#Emission;23;3
65;user-centered#Year;24;4
66;user-centered#City;24;1
67;tool-centered#Location;24;2
68;tool-centered/AdministrativeArea;24;3
69;data-centered-waste#WasteProcessingMethodCode;24;4
70;data-centered-waste#WasteCollectionMethod;24;1
71;data-centered-waste#Address;24;2
72;data-centered-port#VesselClass;24;3
73;data-centered-port#Vessel;24;4
74;data-centered-port#HarbourCountry;24;1
75;data-centered-port#HarbourActivity;24;2
76;data-centered-port#Harbour;24;3
77;user-centered#ValueGain;25;4
78;tool-centered#MaterialFraction;25;1
79;tool-centered#Composition;25;2
80;data-centered-waste#ContentCode;25;3
81;data-centered-port#Transhipment;25;4
82;data-centered-port#ContentDescription;25;1
83;ce-ont#Material;25;2
84;user-centered#RegionScale;28;3
85;user-centered#LocalScale;28;4
86;user-centered#GlobalScale;28;1
87;user-centered#CityScale;28;2
88;user-centered#RawMaterialResource;29;3
89;user-centered#PrimaryResource;29;4
90;user-centered#CircularProject;30;1
91;user-centered#CurrentMaterialUse;31;2
92;user-centered#AlternativeMaterialUse;31;3
93;user-centered#SocialImpact;32;4
94;user-centered#EnvironmentalImpact;32;1
95;user-centered#CircularEconomy;33;2
96;data-centered-waste#WasteShipmentEntity;45;3
97;data-centered-waste#WasteReceivingEntity;45;4
98;data-centered-waste#WasteProcessingEntity;45;1
99;data-centered-waste#WasteMediatingEntity;45;2
100;data-centered-waste#WasteDisposingEntity;45;3
101;data-centered-waste#WasteCollectingEntity;45;4
102;data-centered-waste#WasteBroker;45;1
103;data-centered-waste#FirstSecondaryBuyer;45;2
104;data-centered-port#Stevedore;49;3
105;data-centered-port#ShippingAgent;49;4
106;data-centered-port#ProfitCenter;49;1
107;socioeconomicmetabolism#Stock;50;2
108;socioeconomicmetabolism#Event;50;3
109;data-centered-waste#MaterialDisposalReport;62;4
110;data-centered-waste#MaterialDeliveryReport;62;1
111;data-centered-port#ImportDeclaration;63;2
112;data-centered-port#ExportDeclaration;63;3
113;user-centered#CO2emission;64;4
114;tool-centered#OperationalLocation;67;1
115;tool-centered/AdministrativeLocation;67;2
116;data-centered-port#VehiclesCarrier;72;3
117;data-centered-port#SelfDischargingBulkCarrier;72;4
118;data-centered-port#Ro-RoCargoShip;72;1
119;data-centered-port#RefrigeratedCargoShip;72;2
120;data-centered-port#MolassesTanker;72;3
121;data-centered-port#LPGTanker;72;4
122;data-centered-port#HopperDredger;72;1
123;data-centered-port#HeavyLoadCarrier;72;2
124;data-centered-port#FruitJuiceCarrier;72;3
125;data-centered-port#FishingVessel;72;4
126;data-centered-port#ContainerShip;72;1
127;data-centered-port#ChemicalTanker;72;2
128;data-centered-port#ChemicalOilProductsTanker;72;3
129;data-centered-port#CableLayer;72;4
130;data-centered-port#BulkCarrier;72;1
131;data-centered-port#Unloading;75;2
132;data-centered-port#Loading;75;3
133;data-centered-port#OriginHarbour;76;4
134;data-centered-port#DestinationHarbour;76;1
135;user-centered#PotentialValueGain;77;2
136;tool-centered/Waste;79;3
137;tool-centered/Product;79;4
138;data-centered-waste#GNcode;80;1
139;data-centered-waste#EWCcode;80;2
140;data-centered-port#NSTRTypeOfGoods;82;3
141;data-centered-port#NSTRCode;82;4
142;data-centered-port#HSCode;82;1
143;data-centered-port#GoodsClassificationRange;82;2
144;data-centered-port#ESP02TypeOfGoods;82;3
145;data-centered-port#ESP01TypeOfGoods;82;4
146;data-centered-port#AppearanceCode;82;1
147;data-centered-port#ADNRCode;82;2
148;user-centered#SortedMaterial;83;3
149;user-centered#RawMaterial;83;4
150;user-centered#FoodMaterial;83;1
151;user-centered#EndOfLifeMaterial;83;2
152;user-centered#DemolitionWaste;83;3
153;user-centered#BioBasedMaterial;83;4
154;tool-centered#IdleStock;107;1
155;ce-ont#Process;108;2
156;ce-ont#Flow;108;3
157;data-centered-waste#WasteDisposalLocation;114;4
158;tool-centered#MaterialStock;154;1
159;user-centered#RawMaterialExtraction;155;2
160;user-centered#Production;155;3
161;user-centered#Consumption;155;4
162;user-centered#MaterialFlow;156;1
163;tool-centered#Actor2actorFlow;156;2
164;ce-ont#Process2ProcessFlow;156;3
165;data-centered-waste#SecondarWasteStream;167;4
166;data-centered-waste#PrimaryWasteStream;167;1
167;data-centered-waste#WasteStream;162;2
