name;id;parent
owl#Thing;1;0
ce-ont#CoreConcept;2;1
sem#Event;23;116
sem#Stock;24;116
data#ProfitCenter;25;117
data#ShippingAgent;26;117
data#Stevedore;27;117
data#FirstSecondaryBuyer;28;117
data#WasteBroker;29;117
data#WasteCollectingEntity;30;117
data#WasteDisposingEntity;31;117
data#WasteMediatingEntity;32;117
data#WasteProcessingEntity;33;117
data#WasteReceivingEntity;34;117
data#WasteShipmentEntity;35;117
data#WasteStream;71;149
sem#Object;114;2
sem#Service;115;2
sem#Set;116;2
tool#Actor;117;2
tool#FlowDestination;118;2
tool#FlowOrigin;119;2
ce-ont#InputFlow;120;2
ce-ont#OutputFlow;121;2
tool#Actor2actorFlow;146;154
ce-ont#ImmaterialFlow;147;154
ce-ont#Process2ProcessFlow;148;154
user#MaterialFlow;149;154
data#Transhipment;150;155
user#Consumption;151;155
user#Production;152;155
user#RawMaterialExtraction;153;155
ce-ont#Flow;154;23
ce-ont#Process;155;23
tool#IdleStock;156;24
tool#MaterialStock;157;156
data#PrimaryWasteStream;159;71
data#SecondaryWasteStream;160;71
