name;id;parent
owl#Thing;1;0
ce-ont#DebatableProperty;3;1
user#BuiltEnvironment;36;122
user#BioBasedMaterial;37;122
user#DemolitionWaste;38;122
user#EndOfLifeMaterial;39;122
user#FoodMaterial;40;122
user#RawMaterial;41;122
user#SortedMaterial;42;122
tool#Composition;43;122
tool#Stakeholder;44;122
user#Barrier;45;122
user#Economy;46;122
user#Impact;47;122
user#MaterialUse;48;122
user#Scale;49;122
user#Transition;50;122
user#ValueGain;51;122
tool#ActivityGroup;52;123
tool#KeyFlow;53;123
tool#SolutionCategory;54;123
ce-ont#Activity;55;123
ce-ont#Material;56;123
user#Resource;57;123
tool#Product;58;43
tool#Waste;59;43
user#CircularEconomy;60;46
user#EnvironmentalImpact;61;47
user#SocialImpact;62;47
user#AlternativeMaterialUse;63;48
user#CurrentMaterialUse;64;48
user#CityScale;65;49
user#GlobalScale;66;49
user#LocalScale;67;49
user#RegionScale;68;49
user#PotentialValueGain;69;51
user#BioBasedMaterial;106;56
user#DemolitionWaste;107;56
user#EndOfLifeMaterial;108;56
user#FoodMaterial;109;56
user#RawMaterial;110;56
user#SortedMaterial;111;56
user#PrimaryResource;112;57
user#RawMaterialResource;113;57
ce-ont#Denotation;122;3
ce-ont#Taxonomy;123;3
