name;id;parent
owl#Thing;1;0
ce-ont#ObservationalProperty;5;1
data#ADNRCode;7;74
data#AppearanceCode;8;74
data#ESP01TypeOfGoods;9;74
data#ESP02TypeOfGoods;10;74
data#GoodsClassificationRange;11;74
data#HSCode;12;74
data#NSTRCode;13;74
data#NSTRTypeOfGoods;14;74
data#EWCcode;15;75
data#GNcode;16;75
tool#AdministrativeLocation;17;79
tool#OperationalLocation;18;79
data#DestinationHarbour;19;80
data#OriginHarbour;20;80
data#Loading;21;81
data#Unloading;22;81
user#CO2emission;70;89
tool#FlowChange;72;124
tool#MaterialFraction;73;124
data#ContentDescriptionCode;74;124
data#SecondaryWasteContentCode;75;124
tool#AdministrativeArea;76;125
user#City;77;125
tool#AdministrativeLevel;78;125
tool#Location;79;125
data#Harbour;80;125
data#HarbourActivity;81;125
data#HarbourCountry;82;125
data#Vessel;83;125
data#VesselClass;84;125
data#Address;85;125
data#WasteCollectionMethod;86;125
data#WasteProcessingMethodCode;87;125
user#Year;88;125
user#Emission;89;126
tool#ImplementationQuestion;90;127
tool#Strategy;91;127
tool#Publication;92;127
ce-ont#Model;93;127
data#Declaration;94;127
data#Report;95;127
data#ExportDeclaration;96;94
data#ImportDeclaration;97;94
data#MaterialDeliveryReport;98;95
data#MaterialDisposalReport;99;95
ce-ont#ContentProperty;124;5
ce-ont#ContextProperty;125;5
ce-ont#EffectProperty;126;5
ce-ont#ObservationSource;127;5
data#WasteDisposalLocation;158;18
