name;id;parent
owl#Thing;1;0
ce-ont#SpecificProperty;6;1
tool#FlowTarget;100;138
user#CircularityGoal;101;140
user#TransitionGoal;102;140
user#CircularProject;103;142
user#EcologicalValue;104;144
user#EconomicValue;105;144
tool#SolutionPart;128;6
tool#CaseStudyArea;129;6
tool#FocusArea;130;6
tool#ImplementationArea;131;6
tool#Aim;132;6
tool#CaseStudy;133;6
tool#Challenge;134;6
tool#FlowIndicator;135;6
tool#ImplementationRatio;136;6
tool#Solution;137;6
tool#Target;138;6
tool#User;139;6
user#Goal;140;6
user#Opportunity;141;6
user#Project;142;6
user#SufficientProgress;143;6
user#Value;144;6
user#ValueChainInnovation;145;6
